Name: Rue Saint-Charles, Instruction: Head southwest on Rue Saint-Charles, Distance: 424.5 meters, Time: 305.6 seconds
Name: Rue Héricart, Instruction: Keep right onto Rue Héricart, Distance: 185.2 meters, Time: 133.4 seconds
Name: Rue Emeriau, Instruction: Turn left onto Rue Emeriau, Distance: 295.8 meters, Time: 212.9 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 166.4 meters, Time: 119.8 seconds
Name: -, Instruction: Keep left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Keep right, Distance: 30.6 meters, Time: 22.1 seconds
Name: -, Instruction: Keep left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Keep left, Distance: 149.0 meters, Time: 107.3 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn slight left, Distance: 64.7 meters, Time: 46.6 seconds
Name: Quai André Citroën, Instruction: Turn left onto Quai André Citroën, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: Port de Javel-Haut, Instruction: Turn left onto Port de Javel-Haut, Distance: 740.3 meters, Time: 533.0 seconds
Name: -, Instruction: Turn left, Distance: 77.8 meters, Time: 56.0 seconds
Name: -, Instruction: Turn left, Distance: 93.1 meters, Time: 67.0 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Keep right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 142.7 meters, Time: 102.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
