Name: 南口本通り, Instruction: Head north on 南口本通り, Distance: 77.4 meters, Time: 55.7 seconds
Name: -, Instruction: Keep left, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Keep right, Distance: 142.6 meters, Time: 102.7 seconds
Name: ちょっといい一番街, Instruction: Turn right onto ちょっといい一番街, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn slight right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Keep right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Continue straight, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn slight left, Distance: 41.5 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Keep right, Distance: 3.3 meters, Time: 2.4 seconds
Name: 五番街, Instruction: Turn right onto 五番街, Distance: 1.3 meters, Time: 0.9 seconds
Name: ふれあいロード, Instruction: Turn left onto ふれあいロード, Distance: 98.8 meters, Time: 71.1 seconds
Name: -, Instruction: Turn right, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 57.4 meters, Time: 41.3 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: 昭和新道, Instruction: Turn left onto 昭和新道, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn left, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.0 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn slight right, Distance: 59.9 meters, Time: 43.1 seconds
Name: 薬師柳通り, Instruction: Turn right onto 薬師柳通り, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 119.0 meters, Time: 85.7 seconds
Name: -, Instruction: Turn left, Distance: 178.1 meters, Time: 128.2 seconds
Name: 上高田本通り, Instruction: Turn right onto 上高田本通り, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 32.3 meters, Time: 23.3 seconds
Name: -, Instruction: Turn right, Distance: 107.5 meters, Time: 77.4 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 100.8 meters, Time: 72.6 seconds
Name: -, Instruction: Turn left, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn right, Distance: 98.3 meters, Time: 70.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 228.7 meters, Time: 164.7 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
