Name: Rue de Bellevue, Instruction: Head west on Rue de Bellevue, Distance: 32.1 meters, Time: 23.1 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 60.1 meters, Time: 43.3 seconds
Name: -, Instruction: Keep left, Distance: 5.8 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 149.8 meters, Time: 107.9 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: Rue Compans, Instruction: Turn left onto Rue Compans, Distance: 59.7 meters, Time: 43.0 seconds
Name: -, Instruction: Turn slight right, Distance: 163.5 meters, Time: 117.7 seconds
Name: Rue du Pré Saint-Gervais, Instruction: Continue straight onto Rue du Pré Saint-Gervais, Distance: 149.1 meters, Time: 107.3 seconds
Name: Rue Levert, Instruction: Turn right onto Rue Levert, Distance: 259.5 meters, Time: 186.9 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 21.2 meters, Time: 15.3 seconds
Name: Rue Levert, Instruction: Turn left onto Rue Levert, Distance: 50.5 meters, Time: 36.4 seconds
Name: Rue de la Mare, Instruction: Enter the roundabout and take the 2nd exit onto Rue de la Mare, Distance: 129.5 meters, Time: 93.3 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 176.6 meters, Time: 127.2 seconds
Name: -, Instruction: Turn slight right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn slight left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Keep right, Distance: 62.4 meters, Time: 44.9 seconds
Name: Rue de la Mare, Instruction: Turn right onto Rue de la Mare, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Continue straight, Distance: 55.5 meters, Time: 40.0 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Turn slight left, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Keep left, Distance: 0.6 meters, Time: 0.4 seconds
Name: -, Instruction: Keep right, Distance: 151.9 meters, Time: 109.4 seconds
Name: -, Instruction: Turn left, Distance: 106.4 meters, Time: 76.6 seconds
Name: -, Instruction: Turn slight right, Distance: 105.4 meters, Time: 75.9 seconds
Name: -, Instruction: Turn slight right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Keep left, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
