Name: Rue Gandon, Instruction: Head northwest on Rue Gandon, Distance: 132.1 meters, Time: 95.1 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 60.2 meters, Time: 43.4 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: Rue Caillaux, Instruction: Turn left onto Rue Caillaux, Distance: 155.9 meters, Time: 112.3 seconds
Name: -, Instruction: Turn right, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn left, Distance: 70.8 meters, Time: 51.0 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: Rue Bourgon, Instruction: Turn left onto Rue Bourgon, Distance: 124.2 meters, Time: 89.4 seconds
Name: Rue Damesme, Instruction: Turn right onto Rue Damesme, Distance: 9.8 meters, Time: 7.1 seconds
Name: Rue du Docteur Leray, Instruction: Turn left onto Rue du Docteur Leray, Distance: 158.5 meters, Time: 114.1 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 64.8 meters, Time: 46.7 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 159.7 meters, Time: 115.0 seconds
Name: -, Instruction: Keep left, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn right, Distance: 55.6 meters, Time: 40.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
