Name: Lantana Road, Instruction: Head east on Lantana Road, Distance: 261.8 meters, Time: 188.5 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 549.3 meters, Time: 395.5 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 485.6 meters, Time: 349.6 seconds
Name: -, Instruction: Keep right, Distance: 500.8 meters, Time: 360.6 seconds
Name: -, Instruction: Turn right, Distance: 207.5 meters, Time: 149.4 seconds
Name: -, Instruction: Turn right, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn slight left, Distance: 343.3 meters, Time: 247.2 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
