Name: Doncaster Avenue, Instruction: Head west on Doncaster Avenue, Distance: 179.7 meters, Time: 129.4 seconds
Name: -, Instruction: Turn right, Distance: 74.3 meters, Time: 53.5 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: Oak Park Avenue, Instruction: Turn right onto Oak Park Avenue, Distance: 7.8 meters, Time: 5.6 seconds
Name: Epsom Avenue, Instruction: Turn left onto Epsom Avenue, Distance: 94.9 meters, Time: 68.3 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Gledhill Avenue, Instruction: Turn left onto Gledhill Avenue, Distance: 306.2 meters, Time: 220.4 seconds
Name: King Edward Avenue, Instruction: Turn right onto King Edward Avenue, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 91.1 meters, Time: 65.6 seconds
Name: -, Instruction: Turn right, Distance: 56.0 meters, Time: 40.3 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight right, Distance: 136.7 meters, Time: 98.4 seconds
Name: -, Instruction: Turn right, Distance: 277.2 meters, Time: 199.6 seconds
Name: -, Instruction: Turn left, Distance: 204.6 meters, Time: 147.3 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: Milverton Boulevard, Instruction: Turn right onto Milverton Boulevard, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Arrive at Milverton Boulevard, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
