Name: Glenfern Road, Instruction: Head west on Glenfern Road, Distance: 161.9 meters, Time: 116.6 seconds
Name: Crown Street, Instruction: Turn right onto Crown Street, Distance: 172.8 meters, Time: 124.4 seconds
Name: -, Instruction: Turn left, Distance: 275.1 meters, Time: 198.0 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 182.8 meters, Time: 131.6 seconds
Name: Ward Street, Instruction: Turn right onto Ward Street, Distance: 202.5 meters, Time: 145.8 seconds
Name: -, Instruction: Turn left, Distance: 104.0 meters, Time: 74.9 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Keep left, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn slight right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn left, Distance: 55.9 meters, Time: 40.3 seconds
Name: Dent Street, Instruction: Enter the roundabout and take the 2nd exit onto Dent Street, Distance: 384.1 meters, Time: 276.5 seconds
Name: Dent Street, Instruction: Turn right onto Dent Street, Distance: 301.3 meters, Time: 217.0 seconds
Name: Pennant Parade, Instruction: Turn right onto Pennant Parade, Distance: 143.3 meters, Time: 103.2 seconds
Name: -, Instruction: Turn right, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
