Name: Mandalay Road, Instruction: Head south on Mandalay Road, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 166.0 meters, Time: 119.5 seconds
Name: Jalan Tan Tock Seng, Instruction: Turn sharp left onto Jalan Tan Tock Seng, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: Jalan Tan Tock Seng, Instruction: Turn left onto Jalan Tan Tock Seng, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 380.9 meters, Time: 274.3 seconds
Name: -, Instruction: Turn left, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 201.2 meters, Time: 144.9 seconds
Name: -, Instruction: Turn left, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 54.4 meters, Time: 39.1 seconds
Name: -, Instruction: Turn right, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Turn left, Distance: 35.7 meters, Time: 25.7 seconds
Name: Goldhill Plaza, Instruction: Turn right onto Goldhill Plaza, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn left, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Keep right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 1.0 meters, Time: 0.7 seconds
Name: Khiang Guan Avenue, Instruction: Turn sharp left onto Khiang Guan Avenue, Distance: 382.6 meters, Time: 275.4 seconds
Name: -, Instruction: Turn right, Distance: 157.2 meters, Time: 113.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn right, Distance: 175.1 meters, Time: 126.1 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn slight right, Distance: 79.8 meters, Time: 57.5 seconds
Name: -, Instruction: Turn right, Distance: 57.7 meters, Time: 41.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 65.5 meters, Time: 47.2 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 268.4 meters, Time: 193.3 seconds
Name: Peck Hay Road, Instruction: Turn sharp right onto Peck Hay Road, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Arrive at Peck Hay Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
