Name: Rue des Meuniers, Instruction: Head northwest on Rue des Meuniers, Distance: 96.6 meters, Time: 69.6 seconds
Name: Rue de la Brèche aux Loups, Instruction: Turn right onto Rue de la Brèche aux Loups, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn right, Distance: 52.7 meters, Time: 37.9 seconds
Name: -, Instruction: Turn slight left, Distance: 191.8 meters, Time: 138.1 seconds
Name: -, Instruction: Turn slight right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn slight left, Distance: 48.4 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn left, Distance: 144.8 meters, Time: 104.2 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn slight left, Distance: 144.6 meters, Time: 104.1 seconds
Name: -, Instruction: Turn left, Distance: 167.3 meters, Time: 120.5 seconds
Name: -, Instruction: Turn slight right, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 291.4 meters, Time: 209.8 seconds
Name: -, Instruction: Turn right, Distance: 115.4 meters, Time: 83.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
