Name: Woferlstraße, Instruction: Head east on Woferlstraße, Distance: 68.0 meters, Time: 49.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 379.8 meters, Time: 273.4 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 125.2 meters, Time: 90.1 seconds
Name: -, Instruction: Turn slight left, Distance: 28.5 meters, Time: 20.5 seconds
Name: Innsbrucker Ring, Instruction: Turn left onto Innsbrucker Ring, Distance: 7.6 meters, Time: 5.5 seconds
Name: Aribonenstraße, Instruction: Turn right onto Aribonenstraße, Distance: 172.9 meters, Time: 124.5 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.6 seconds
Name: Rosenheimer Straße, Instruction: Turn right onto Rosenheimer Straße, Distance: 98.8 meters, Time: 71.1 seconds
Name: Rosenheimer Straße, Instruction: Keep left onto Rosenheimer Straße, Distance: 464.8 meters, Time: 334.6 seconds
Name: -, Instruction: Turn slight right, Distance: 5.3 meters, Time: 3.8 seconds
Name: Rosenheimer Straße, Instruction: Turn left onto Rosenheimer Straße, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: Rosenheimer Straße, Instruction: Keep right onto Rosenheimer Straße, Distance: 315.5 meters, Time: 227.1 seconds
Name: -, Instruction: Turn left, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Turn slight right, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 571.6 meters, Time: 411.5 seconds
Name: -, Instruction: Turn left, Distance: 32.4 meters, Time: 23.3 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
