Name: Rua E, Instruction: Head northwest on Rua E, Distance: 293.8 meters, Time: 211.5 seconds
Name: -, Instruction: Turn right, Distance: 55.5 meters, Time: 39.9 seconds
Name: Rua C, Instruction: Turn right onto Rua C, Distance: 710.9 meters, Time: 511.9 seconds
Name: -, Instruction: Keep left, Distance: 81.9 meters, Time: 58.9 seconds
Name: Avenida Vinte de Janeiro, Instruction: Enter the roundabout and take the 2nd exit onto Avenida Vinte de Janeiro, Distance: 198.9 meters, Time: 143.2 seconds
Name: -, Instruction: Keep right, Distance: 76.7 meters, Time: 55.3 seconds
Name: -, Instruction: Keep right, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Keep right, Distance: 422.2 meters, Time: 304.0 seconds
Name: -, Instruction: Keep right, Distance: 199.3 meters, Time: 143.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 187.0 meters, Time: 134.6 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 29.7 meters, Time: 21.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
