Name: Square Alice, Instruction: Head northwest on Square Alice, Distance: 35.1 meters, Time: 25.3 seconds
Name: -, Instruction: Turn left, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep left, Distance: 318.4 meters, Time: 229.2 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 275.1 meters, Time: 198.0 seconds
Name: -, Instruction: Turn left, Distance: 36.2 meters, Time: 26.1 seconds
Name: Rue Julia Bartet, Instruction: Continue straight onto Rue Julia Bartet, Distance: 113.8 meters, Time: 81.9 seconds
Name: -, Instruction: Keep right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Keep right, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Rue Claude Garamond, Instruction: Turn sharp right onto Rue Claude Garamond, Distance: 17.0 meters, Time: 12.2 seconds
Name: Avenue de la Porte Brancion, Instruction: Turn left onto Avenue de la Porte Brancion, Distance: 40.0 meters, Time: 28.8 seconds
Name: Rue Louis Vicat, Instruction: Turn right onto Rue Louis Vicat, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 86.9 meters, Time: 62.6 seconds
Name: -, Instruction: Turn right, Distance: 70.6 meters, Time: 50.8 seconds
Name: Rue Rabelais, Instruction: Turn right onto Rue Rabelais, Distance: 83.9 meters, Time: 60.4 seconds
Name: Rue Rabelais, Instruction: Turn left onto Rue Rabelais, Distance: 45.1 meters, Time: 32.4 seconds
Name: Rue Danton, Instruction: Turn right onto Rue Danton, Distance: 23.9 meters, Time: 17.2 seconds
Name: Rue Sadi Carnot, Instruction: Turn left onto Rue Sadi Carnot, Distance: 306.9 meters, Time: 221.0 seconds
Name: Rue Sadi Carnot, Instruction: Continue straight onto Rue Sadi Carnot, Distance: 277.0 meters, Time: 199.4 seconds
Name: -, Instruction: Arrive at Rue Sadi Carnot, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
