Name: Catterick Close, Instruction: Head northwest on Catterick Close, Distance: 72.0 meters, Time: 51.9 seconds
Name: Ribblesdale Avenue, Instruction: Turn right onto Ribblesdale Avenue, Distance: 454.4 meters, Time: 327.1 seconds
Name: -, Instruction: Turn left, Distance: 120.9 meters, Time: 87.1 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Continue straight, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 115.1 meters, Time: 82.9 seconds
Name: -, Instruction: Turn right, Distance: 74.0 meters, Time: 53.3 seconds
Name: -, Instruction: Turn slight right, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: Friern Barnet Road, Instruction: Turn right onto Friern Barnet Road, Distance: 129.5 meters, Time: 93.2 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn right, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
