Name: Portia Way, Instruction: Head north on Portia Way, Distance: 29.9 meters, Time: 21.5 seconds
Name: Bow Common Lane, Instruction: Turn right onto Bow Common Lane, Distance: 582.8 meters, Time: 419.6 seconds
Name: Belton Way, Instruction: Turn left onto Belton Way, Distance: 65.0 meters, Time: 46.8 seconds
Name: -, Instruction: Turn left, Distance: 57.7 meters, Time: 41.5 seconds
Name: Whitethorn Street, Instruction: Turn right onto Whitethorn Street, Distance: 161.7 meters, Time: 116.4 seconds
Name: Devons Road, B140, Instruction: Turn right onto Devons Road, B140, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.4 seconds
Name: Watts Grove, Instruction: Turn right onto Watts Grove, Distance: 77.9 meters, Time: 56.1 seconds
Name: Yeo Street, Instruction: Turn left onto Yeo Street, Distance: 142.1 meters, Time: 102.3 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Keep left, Distance: 74.8 meters, Time: 53.8 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: Morris Road, Instruction: Turn right onto Morris Road, Distance: 135.0 meters, Time: 97.2 seconds
Name: Fawe Street, Instruction: Turn left onto Fawe Street, Distance: 59.8 meters, Time: 43.1 seconds
Name: Fawe Street, Instruction: Keep right onto Fawe Street, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 75.8 meters, Time: 54.6 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: Clutton Street, Instruction: Turn slight right onto Clutton Street, Distance: 56.6 meters, Time: 40.7 seconds
Name: Uamvar Street, Instruction: Turn right onto Uamvar Street, Distance: 39.9 meters, Time: 28.7 seconds
Name: Zetland Street, Instruction: Turn left onto Zetland Street, Distance: 309.5 meters, Time: 222.9 seconds
Name: -, Instruction: Arrive at Zetland Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
