Name: Canberra Drive, Instruction: Head southeast on Canberra Drive, Distance: 657.0 meters, Time: 473.1 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 238.3 meters, Time: 171.6 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight right, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 82.3 meters, Time: 59.2 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 107.1 meters, Time: 77.1 seconds
Name: -, Instruction: Turn right, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 284.1 meters, Time: 204.6 seconds
Name: -, Instruction: Turn slight left, Distance: 796.9 meters, Time: 573.8 seconds
Name: Yishun Street 71, Instruction: Turn right onto Yishun Street 71, Distance: 155.3 meters, Time: 111.8 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
