Name: 2nd Street, Instruction: Head north on 2nd Street, Distance: 70.4 meters, Time: 50.7 seconds
Name: Heideveld Road, Instruction: Turn left onto Heideveld Road, Distance: 232.1 meters, Time: 167.1 seconds
Name: Heideveld Road, Instruction: Keep right onto Heideveld Road, Distance: 84.1 meters, Time: 60.5 seconds
Name: Jakes Gerwel Drive, M7, Instruction: Turn right onto Jakes Gerwel Drive, M7, Distance: 96.7 meters, Time: 69.6 seconds
Name: -, Instruction: Turn right, Distance: 143.0 meters, Time: 103.0 seconds
Name: -, Instruction: Keep left, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn left, Distance: 178.1 meters, Time: 128.2 seconds
Name: Jakes Gerwel Drive, M7, Instruction: Turn right onto Jakes Gerwel Drive, M7, Distance: 375.2 meters, Time: 270.1 seconds
Name: -, Instruction: Keep right, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn left, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 152.2 meters, Time: 109.6 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 300.2 meters, Time: 216.1 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 42.7 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: Winnie Mandela Road, Instruction: Turn right onto Winnie Mandela Road, Distance: 50.2 meters, Time: 36.1 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn slight right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 50.9 meters, Time: 36.7 seconds
Name: -, Instruction: Turn right, Distance: 45.0 meters, Time: 32.4 seconds
Name: Fort Calata Road, Instruction: Turn right onto Fort Calata Road, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn left, Distance: 97.2 meters, Time: 70.0 seconds
Name: Moses Mabhida Road, Instruction: Turn right onto Moses Mabhida Road, Distance: 25.2 meters, Time: 18.2 seconds
Name: King Langalibalele Drive, Instruction: Turn left onto King Langalibalele Drive, Distance: 6.6 meters, Time: 4.7 seconds
Name: Moses Mabhida Road, Instruction: Turn right onto Moses Mabhida Road, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Arrive at Moses Mabhida Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
