Name: Schwedensteinstraße, Instruction: Head west on Schwedensteinstraße, Distance: 144.4 meters, Time: 104.0 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Keep right, Distance: 154.6 meters, Time: 111.3 seconds
Name: -, Instruction: Turn right, Distance: 398.6 meters, Time: 287.0 seconds
Name: Friedrich-Panzer-Weg, Instruction: Turn right onto Friedrich-Panzer-Weg, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn left, Distance: 718.9 meters, Time: 517.6 seconds
Name: -, Instruction: Keep right, Distance: 51.3 meters, Time: 36.9 seconds
Name: -, Instruction: Turn slight left, Distance: 168.6 meters, Time: 121.4 seconds
Name: -, Instruction: Turn right, Distance: 82.4 meters, Time: 59.3 seconds
Name: -, Instruction: Keep right, Distance: 58.9 meters, Time: 42.4 seconds
Name: -, Instruction: Turn left, Distance: 25.0 meters, Time: 18.0 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Franz-Heubl-Straße, Instruction: Turn left onto Franz-Heubl-Straße, Distance: 420.1 meters, Time: 302.5 seconds
Name: -, Instruction: Turn right, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Keep left, Distance: 91.6 meters, Time: 65.9 seconds
Name: -, Instruction: Turn right, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
