Name: Westbury Road, Instruction: Head north on Westbury Road, Distance: 95.0 meters, Time: 68.4 seconds
Name: Silwood Road, Instruction: Turn left onto Silwood Road, Distance: 153.4 meters, Time: 110.5 seconds
Name: Barkley Road, Instruction: Turn right onto Barkley Road, Distance: 80.4 meters, Time: 57.9 seconds
Name: Bonair Road, Instruction: Turn left onto Bonair Road, Distance: 109.4 meters, Time: 78.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 37.4 meters, Time: 26.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 217.2 meters, Time: 156.4 seconds
Name: -, Instruction: Keep right, Distance: 142.0 meters, Time: 102.2 seconds
Name: -, Instruction: Keep left, Distance: 42.3 meters, Time: 30.5 seconds
Name: -, Instruction: Keep left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Keep right, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Keep right, Distance: 163.1 meters, Time: 117.4 seconds
Name: -, Instruction: Keep right, Distance: 137.6 meters, Time: 99.1 seconds
Name: -, Instruction: Keep left, Distance: 63.9 meters, Time: 46.0 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
