Name: The High Road, Instruction: Head southwest on The High Road, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 142.7 meters, Time: 102.7 seconds
Name: Allen Street, Instruction: Turn left onto Allen Street, Distance: 336.8 meters, Time: 242.5 seconds
Name: -, Instruction: Turn right, Distance: 89.7 meters, Time: 64.6 seconds
Name: -, Instruction: Turn left, Distance: 149.1 meters, Time: 107.4 seconds
Name: -, Instruction: Turn right, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn right, Distance: 555.8 meters, Time: 400.2 seconds
Name: Great Blue Mountains Trail, Instruction: Turn right onto Great Blue Mountains Trail, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 33.3 meters, Time: 24.0 seconds
Name: Short Street, Instruction: Turn left onto Short Street, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Turn right, Distance: 31.0 meters, Time: 22.3 seconds
Name: -, Instruction: Turn left, Distance: 53.0 meters, Time: 38.1 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: Pippa's Pass, Instruction: Turn right onto Pippa's Pass, Distance: 276.5 meters, Time: 199.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 247.6 meters, Time: 178.3 seconds
Name: -, Instruction: Turn right, Distance: 95.9 meters, Time: 69.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
