Name: Calzada Acoxpa, Instruction: Head northwest on Calzada Acoxpa, Distance: 187.8 meters, Time: 135.2 seconds
Name: Avenida La Garita, Instruction: Turn left onto Avenida La Garita, Distance: 193.4 meters, Time: 139.3 seconds
Name: Avenida La Garita, Instruction: Keep right onto Avenida La Garita, Distance: 204.0 meters, Time: 146.9 seconds
Name: Avenida La Troje, Instruction: Turn left onto Avenida La Troje, Distance: 6.2 meters, Time: 4.5 seconds
Name: Avenida La Garita, Instruction: Turn right onto Avenida La Garita, Distance: 184.6 meters, Time: 132.9 seconds
Name: Andador 1, Instruction: Turn left onto Andador 1, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 142.5 meters, Time: 102.6 seconds
Name: Andador 20, Instruction: Turn right onto Andador 20, Distance: 28.9 meters, Time: 20.8 seconds
Name: Avenida La Carreta, Instruction: Turn left onto Avenida La Carreta, Distance: 119.2 meters, Time: 85.8 seconds
Name: Avenida La Carreta, Instruction: Turn left onto Avenida La Carreta, Distance: 52.7 meters, Time: 37.9 seconds
Name: Avenida Prolongación División del Norte, Instruction: Turn sharp right onto Avenida Prolongación División del Norte, Distance: 80.4 meters, Time: 57.9 seconds
Name: -, Instruction: Arrive at Avenida Prolongación División del Norte, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
