Name: Rue des Fontaines du Temple, Instruction: Head west on Rue des Fontaines du Temple, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight right, Distance: 88.4 meters, Time: 63.6 seconds
Name: -, Instruction: Turn slight left, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Keep right, Distance: 14.7 meters, Time: 10.5 seconds
Name: -, Instruction: Keep right, Distance: 42.1 meters, Time: 30.3 seconds
Name: Place Theodor Herzl, Instruction: Continue straight onto Place Theodor Herzl, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn left, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Keep right, Distance: 151.9 meters, Time: 109.4 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
