Name: Klobensteiner Straße, Instruction: Head northeast on Klobensteiner Straße, Distance: 55.3 meters, Time: 39.8 seconds
Name: Bozener Straße, Instruction: Turn right onto Bozener Straße, Distance: 299.3 meters, Time: 215.5 seconds
Name: Säbener Straße, Instruction: Turn left onto Säbener Straße, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 798.3 meters, Time: 574.8 seconds
Name: Schellenbergstraße, Instruction: Turn right onto Schellenbergstraße, Distance: 36.2 meters, Time: 26.0 seconds
Name: Otkerstraße, Instruction: Turn left onto Otkerstraße, Distance: 487.3 meters, Time: 350.8 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn left, Distance: 25.7 meters, Time: 18.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 89.9 meters, Time: 64.7 seconds
Name: Werner-Schlierf-Straße, Instruction: Turn left onto Werner-Schlierf-Straße, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
