Name: Megalong Street, Instruction: Head west on Megalong Street, Distance: 534.9 meters, Time: 385.1 seconds
Name: York Street, Instruction: Turn left onto York Street, Distance: 108.2 meters, Time: 77.9 seconds
Name: Lovel Street, Instruction: Turn right onto Lovel Street, Distance: 2.5 meters, Time: 1.8 seconds
Name: York Street, Instruction: Turn left onto York Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 238.1 meters, Time: 171.4 seconds
Name: -, Instruction: Keep right, Distance: 129.1 meters, Time: 93.0 seconds
Name: -, Instruction: Keep left, Distance: 140.2 meters, Time: 100.9 seconds
Name: -, Instruction: Turn right, Distance: 64.8 meters, Time: 46.7 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 62.9 meters, Time: 45.3 seconds
Name: -, Instruction: Keep left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep left, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn left, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 73.1 meters, Time: 52.6 seconds
Name: Murri Street, Instruction: Turn slight left onto Murri Street, Distance: 137.7 meters, Time: 99.1 seconds
Name: Murri Street, Instruction: Keep left onto Murri Street, Distance: 104.0 meters, Time: 74.9 seconds
Name: Murri Street, Instruction: Continue straight onto Murri Street, Distance: 78.3 meters, Time: 56.4 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.9 seconds
Name: Waimea Street, Instruction: Turn left onto Waimea Street, Distance: 8.8 meters, Time: 6.3 seconds
Name: Warriga Street, Instruction: Turn right onto Warriga Street, Distance: 225.7 meters, Time: 162.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.8 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 48.8 meters, Time: 35.1 seconds
Name: -, Instruction: Arrive at your destination, on the left, Distance: 0.0 meters, Time: 0.0 seconds
