Name: Calle Río Lerma, Instruction: Head southwest on Calle Río Lerma, Distance: 537.4 meters, Time: 387.0 seconds
Name: Calle Río de la Plata, Instruction: Turn left onto Calle Río de la Plata, Distance: 157.8 meters, Time: 113.7 seconds
Name: -, Instruction: Turn right, Distance: 288.9 meters, Time: 208.0 seconds
Name: -, Instruction: Keep left, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Turn right, Distance: 375.3 meters, Time: 270.2 seconds
Name: -, Instruction: Turn right, Distance: 90.4 meters, Time: 65.1 seconds
Name: Peatonal Avenida Heróico Colegio Militar, Instruction: Turn right onto Peatonal Avenida Heróico Colegio Militar, Distance: 64.1 meters, Time: 46.2 seconds
Name: Peatonal Avenida Heróico Colegio Militar, Instruction: Keep left onto Peatonal Avenida Heróico Colegio Militar, Distance: 293.0 meters, Time: 210.9 seconds
Name: Gran Avenida, Instruction: Continue straight onto Gran Avenida, Distance: 15.5 meters, Time: 11.2 seconds
Name: Gran Avenida, Instruction: Continue straight onto Gran Avenida, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Arrive at Gran Avenida, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
