Name: Irwin Avenue, Instruction: Head west on Irwin Avenue, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 532.0 meters, Time: 383.1 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn right, Distance: 125.8 meters, Time: 90.6 seconds
Name: -, Instruction: Turn left, Distance: 3.8 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 445.5 meters, Time: 320.7 seconds
Name: -, Instruction: Keep right, Distance: 225.9 meters, Time: 162.7 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Keep left, Distance: 156.9 meters, Time: 113.0 seconds
Name: -, Instruction: Keep right, Distance: 391.2 meters, Time: 281.6 seconds
Name: -, Instruction: Turn left, Distance: 149.0 meters, Time: 107.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
