Name: Rua dos Coquis, Instruction: Head west on Rua dos Coquis, Distance: 38.2 meters, Time: 27.5 seconds
Name: Rua Lirio dos Campos, Instruction: Turn right onto Rua Lirio dos Campos, Distance: 47.3 meters, Time: 34.0 seconds
Name: Rua Flor de Liz, Instruction: Turn right onto Rua Flor de Liz, Distance: 49.8 meters, Time: 35.8 seconds
Name: Rua Cogumelo, Instruction: Turn left onto Rua Cogumelo, Distance: 85.2 meters, Time: 61.4 seconds
Name: Estrada Santa Efigênia, Instruction: Turn right onto Estrada Santa Efigênia, Distance: 603.0 meters, Time: 434.2 seconds
Name: Estrada Santa Efigênia, Instruction: Continue straight onto Estrada Santa Efigênia, Distance: 44.9 meters, Time: 32.3 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn slight right onto Estrada dos Bandeirantes, Distance: 66.4 meters, Time: 47.8 seconds
Name: -, Instruction: Turn left, Distance: 49.9 meters, Time: 35.9 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn left onto Estrada dos Bandeirantes, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Keep right, Distance: 42.4 meters, Time: 30.5 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 153.9 meters, Time: 110.8 seconds
Name: -, Instruction: Turn right, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Keep right, Distance: 60.0 meters, Time: 43.2 seconds
Name: Estrada dos Bandeirantes, Instruction: Turn left onto Estrada dos Bandeirantes, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Arrive at Estrada dos Bandeirantes, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
