Name: Rua Tanicredo de Ameida Neves, Instruction: Head north on Rua Tanicredo de Ameida Neves, Distance: 25.7 meters, Time: 18.5 seconds
Name: Rua Victor Otávio Oliveira da Silva, Instruction: Turn slight right onto Rua Victor Otávio Oliveira da Silva, Distance: 47.3 meters, Time: 34.0 seconds
Name: Rua Domingas Freires dos Santos, Instruction: Continue straight onto Rua Domingas Freires dos Santos, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Continue straight, Distance: 13.9 meters, Time: 10.0 seconds
Name: Rua Nossa Senhora dos Remedios, Instruction: Turn right onto Rua Nossa Senhora dos Remedios, Distance: 86.4 meters, Time: 62.2 seconds
Name: Rua do Caule, Instruction: Turn left onto Rua do Caule, Distance: 126.0 meters, Time: 90.7 seconds
Name: Avenida Nossa Senhora de Fátima, Instruction: Turn right onto Avenida Nossa Senhora de Fátima, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn left, Distance: 66.2 meters, Time: 47.6 seconds
Name: Rua da Comunidade, Instruction: Turn left onto Rua da Comunidade, Distance: 110.5 meters, Time: 79.6 seconds
Name: Rua da Comunidade, Instruction: Continue straight onto Rua da Comunidade, Distance: 173.3 meters, Time: 124.7 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: Rua Beira Lima, Instruction: Turn left onto Rua Beira Lima, Distance: 278.7 meters, Time: 200.6 seconds
Name: Estrada do Guerenguê, Instruction: Turn right onto Estrada do Guerenguê, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 168.5 meters, Time: 121.3 seconds
Name: -, Instruction: Keep left, Distance: 73.9 meters, Time: 53.2 seconds
Name: Rua André Rocha, Instruction: Turn left onto Rua André Rocha, Distance: 84.8 meters, Time: 61.0 seconds
Name: Rua André Rocha, Instruction: Keep right onto Rua André Rocha, Distance: 64.0 meters, Time: 46.1 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 43.8 meters, Time: 31.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
