Name: Bourke Road, Instruction: Head south on Bourke Road, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Continue straight, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 137.6 meters, Time: 99.1 seconds
Name: -, Instruction: Keep right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: Campbell Road Underpass, Instruction: Turn left onto Campbell Road Underpass, Distance: 55.7 meters, Time: 40.1 seconds
Name: Campbell Road Underpass, Instruction: Turn left onto Campbell Road Underpass, Distance: 478.6 meters, Time: 344.6 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.5 seconds
Name: Gardeners Road, Instruction: Turn right onto Gardeners Road, Distance: 26.5 meters, Time: 19.1 seconds
Name: Venice Street, Instruction: Turn sharp right onto Venice Street, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Arrive at Venice Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
