Name: Merchants Way, Instruction: Head northwest on Merchants Way, Distance: 10.2 meters, Time: 7.4 seconds
Name: Apex Road, Instruction: Turn right onto Apex Road, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Keep right, Distance: 298.4 meters, Time: 214.8 seconds
Name: Wandsworth Road, A3036, Instruction: Turn right onto Wandsworth Road, A3036, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 136.4 meters, Time: 98.2 seconds
Name: Miles Street, Instruction: Turn sharp left onto Miles Street, Distance: 4.8 meters, Time: 3.4 seconds
Name: Bondway, Instruction: Turn sharp right onto Bondway, Distance: 166.1 meters, Time: 119.6 seconds
Name: Bondway, Instruction: Turn left onto Bondway, Distance: 197.1 meters, Time: 141.9 seconds
Name: South Lambeth Place, Instruction: Turn left onto South Lambeth Place, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 86.0 meters, Time: 61.9 seconds
Name: South Lambeth Road, Instruction: Turn left onto South Lambeth Road, Distance: 30.3 meters, Time: 21.8 seconds
Name: -, Instruction: Turn right, Distance: 52.8 meters, Time: 38.0 seconds
Name: -, Instruction: Continue straight, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 144.0 meters, Time: 103.7 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Keep right, Distance: 74.0 meters, Time: 53.3 seconds
Name: -, Instruction: Turn slight right, Distance: 133.1 meters, Time: 95.8 seconds
Name: Kennington Lane, Instruction: Turn left onto Kennington Lane, Distance: 213.1 meters, Time: 153.4 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.1 seconds
Name: -, Instruction: Turn slight right, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn slight left, Distance: 34.1 meters, Time: 24.5 seconds
Name: -, Instruction: Turn left, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Keep right, Distance: 59.7 meters, Time: 43.0 seconds
Name: Bowden Street, Instruction: Turn right onto Bowden Street, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at Bowden Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
