Name: Bain Street, Instruction: Head northwest on Bain Street, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 108.8 meters, Time: 78.3 seconds
Name: -, Instruction: Keep right, Distance: 120.6 meters, Time: 86.8 seconds
Name: -, Instruction: Turn right, Distance: 257.1 meters, Time: 185.1 seconds
Name: -, Instruction: Turn right, Distance: 88.8 meters, Time: 64.0 seconds
Name: -, Instruction: Keep left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Keep right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn right, Distance: 197.7 meters, Time: 142.3 seconds
Name: Cathay Forecourt, Instruction: Turn right onto Cathay Forecourt, Distance: 36.6 meters, Time: 26.3 seconds
Name: -, Instruction: Turn slight left, Distance: 287.8 meters, Time: 207.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
