Name: Rue de Castellane, Instruction: Head southeast on Rue de Castellane, Distance: 6.4 meters, Time: 4.6 seconds
Name: Rue Tronchet, Instruction: Turn left onto Rue Tronchet, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn left, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Turn slight right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep left, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn slight left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn right, Distance: 31.2 meters, Time: 22.4 seconds
Name: -, Instruction: Turn left, Distance: 43.5 meters, Time: 31.3 seconds
Name: Rue de Caumartin, Instruction: Turn left onto Rue de Caumartin, Distance: 225.3 meters, Time: 162.2 seconds
Name: -, Instruction: Turn right, Distance: 80.9 meters, Time: 58.3 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn right, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Turn slight left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 77.5 meters, Time: 55.8 seconds
Name: -, Instruction: Turn right, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight right, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn slight left, Distance: 240.8 meters, Time: 173.4 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep right, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn slight right, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Turn right, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
