Name: Kabardin Street, Instruction: Head northeast on Kabardin Street, Distance: 419.4 meters, Time: 302.0 seconds
Name: -, Instruction: Turn right, Distance: 342.3 meters, Time: 246.4 seconds
Name: Bayvista Drive, Instruction: Enter the roundabout and take the 1st exit onto Bayvista Drive, Distance: 64.0 meters, Time: 46.1 seconds
Name: Bayvista Drive, Instruction: Turn left onto Bayvista Drive, Distance: 261.6 meters, Time: 188.3 seconds
Name: Bayvista Drive, Instruction: Turn left onto Bayvista Drive, Distance: 69.5 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 519.4 meters, Time: 374.0 seconds
Name: -, Instruction: Turn slight left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: Parkmore Drive, Instruction: Turn right onto Parkmore Drive, Distance: 25.3 meters, Time: 18.2 seconds
Name: Rauriki Lane, Instruction: Turn left onto Rauriki Lane, Distance: 135.2 meters, Time: 97.4 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
