Name: Beamish Lane, Instruction: Head north on Beamish Lane, Distance: 7.6 meters, Time: 5.5 seconds
Name: South Parade, Instruction: Turn left onto South Parade, Distance: 44.4 meters, Time: 32.0 seconds
Name: -, Instruction: Turn right, Distance: 120.9 meters, Time: 87.0 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 153.2 meters, Time: 110.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 79.6 meters, Time: 57.3 seconds
Name: Sixth Avenue, Instruction: Turn right onto Sixth Avenue, Distance: 438.1 meters, Time: 315.4 seconds
Name: Sixth Avenue, Instruction: Enter the roundabout and take the 2nd exit onto Sixth Avenue, Distance: 169.0 meters, Time: 121.6 seconds
Name: -, Instruction: Turn left, Distance: 135.2 meters, Time: 97.3 seconds
Name: -, Instruction: Turn right, Distance: 471.8 meters, Time: 339.7 seconds
Name: Rosedale Crescent, Instruction: Turn left onto Rosedale Crescent, Distance: 9.2 meters, Time: 6.6 seconds
Name: Burwood Road, Instruction: Turn right onto Burwood Road, Distance: 7.0 meters, Time: 5.0 seconds
Name: Eden Avenue, Instruction: Turn sharp left onto Eden Avenue, Distance: 139.5 meters, Time: 100.5 seconds
Name: -, Instruction: Arrive at Eden Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
