Name: نفق الملك الصالح, Instruction: Head east on نفق الملك الصالح, Distance: 34.2 meters, Time: 24.6 seconds
Name: شارع حسن الانوار القبلي, Instruction: Turn sharp right onto شارع حسن الانوار القبلي, Distance: 6.1 meters, Time: 4.4 seconds
Name: شارع موسي الهاشمي, Instruction: Turn left onto شارع موسي الهاشمي, Distance: 45.3 meters, Time: 32.6 seconds
Name: شارع بهاء الدين زهير, Instruction: Turn right onto شارع بهاء الدين زهير, Distance: 40.9 meters, Time: 29.5 seconds
Name: شارع عبد الله العمري, Instruction: Turn left onto شارع عبد الله العمري, Distance: 249.6 meters, Time: 179.7 seconds
Name: شارع الفسطاط, Instruction: Turn left onto شارع الفسطاط, Distance: 65.7 meters, Time: 47.3 seconds
Name: شارع صلاح سالم, Instruction: Turn right onto شارع صلاح سالم, Distance: 264.7 meters, Time: 190.6 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: شارع صلاح سالم, Instruction: Turn right onto شارع صلاح سالم, Distance: 122.7 meters, Time: 88.3 seconds
Name: شارع 2, Instruction: Turn left onto شارع 2, Distance: 120.2 meters, Time: 86.5 seconds
Name: -, Instruction: Turn right, Distance: 191.3 meters, Time: 137.7 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 26.0 meters, Time: 18.7 seconds
Name: شارع 4, Instruction: Turn left onto شارع 4, Distance: 66.8 meters, Time: 48.1 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Keep left, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 59.0 meters, Time: 42.5 seconds
Name: شارع مساكن عين الصيره الجديد, Instruction: Turn right onto شارع مساكن عين الصيره الجديد, Distance: 55.4 meters, Time: 39.9 seconds
Name: -, Instruction: Turn left, Distance: 48.9 meters, Time: 35.2 seconds
Name: -, Instruction: Turn right, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Turn left, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 57.7 meters, Time: 41.6 seconds
Name: شارع المرور, Instruction: Turn left onto شارع المرور, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 220.2 meters, Time: 158.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
