Name: MacDonell Avenue, Instruction: Head south on MacDonell Avenue, Distance: 177.5 meters, Time: 127.8 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 120.9 meters, Time: 87.0 seconds
Name: -, Instruction: Turn right, Distance: 88.4 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 252.0 meters, Time: 181.4 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: Fuller Avenue, Instruction: Turn left onto Fuller Avenue, Distance: 67.0 meters, Time: 48.2 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 150.9 meters, Time: 108.7 seconds
Name: Sorauren Avenue, Instruction: Turn left onto Sorauren Avenue, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 110.4 meters, Time: 79.5 seconds
Name: -, Instruction: Turn left, Distance: 34.2 meters, Time: 24.6 seconds
Name: -, Instruction: Turn slight right, Distance: 114.0 meters, Time: 82.1 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 40.1 meters, Time: 28.8 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Triller Avenue, Instruction: Turn left onto Triller Avenue, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
