Name: Frybrook Road, Instruction: Head east on Frybrook Road, Distance: 117.1 meters, Time: 84.3 seconds
Name: Forest Hill Road, Instruction: Turn sharp left onto Forest Hill Road, Distance: 257.8 meters, Time: 185.6 seconds
Name: -, Instruction: Turn right, Distance: 159.0 meters, Time: 114.5 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: Kilbarry Road, Instruction: Turn right onto Kilbarry Road, Distance: 137.8 meters, Time: 99.2 seconds
Name: Kilbarry Road, Instruction: Keep left onto Kilbarry Road, Distance: 49.1 meters, Time: 35.4 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 211.1 meters, Time: 152.0 seconds
Name: -, Instruction: Turn left, Distance: 55.8 meters, Time: 40.2 seconds
Name: -, Instruction: Turn slight right, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Keep right, Distance: 137.2 meters, Time: 98.8 seconds
Name: -, Instruction: Turn left, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: Colin Avenue, Instruction: Turn right onto Colin Avenue, Distance: 495.5 meters, Time: 356.7 seconds
Name: -, Instruction: Arrive at Colin Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
