Name: Rue Cardinet, Instruction: Head southwest on Rue Cardinet, Distance: 208.3 meters, Time: 150.0 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.1 seconds
Name: -, Instruction: Turn slight left, Distance: 75.6 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn slight left, Distance: 55.6 meters, Time: 40.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Keep right, Distance: 147.8 meters, Time: 106.4 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 63.3 meters, Time: 45.5 seconds
Name: -, Instruction: Turn right, Distance: 25.3 meters, Time: 18.2 seconds
Name: -, Instruction: Turn left, Distance: 314.1 meters, Time: 226.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
