Name: Trethewey Drive, Instruction: Head northwest on Trethewey Drive, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Keep right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Keep left, Distance: 189.8 meters, Time: 136.7 seconds
Name: -, Instruction: Keep right, Distance: 149.8 meters, Time: 107.8 seconds
Name: -, Instruction: Keep right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Paulson Road, Instruction: Turn left onto Paulson Road, Distance: 218.8 meters, Time: 157.5 seconds
Name: Paulson Road, Instruction: Continue straight onto Paulson Road, Distance: 151.8 meters, Time: 109.3 seconds
Name: King Georges Drive, Instruction: Continue straight onto King Georges Drive, Distance: 236.6 meters, Time: 170.4 seconds
Name: King Georges Drive, Instruction: Keep left onto King Georges Drive, Distance: 38.7 meters, Time: 27.9 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: -, Instruction: Turn right, Distance: 41.0 meters, Time: 29.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
