Name: Mallory Crescent, Instruction: Head south on Mallory Crescent, Distance: 337.7 meters, Time: 243.1 seconds
Name: -, Instruction: Turn left, Distance: 187.8 meters, Time: 135.2 seconds
Name: -, Instruction: Keep right, Distance: 719.2 meters, Time: 517.8 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 225.0 meters, Time: 162.0 seconds
Name: -, Instruction: Keep left, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 50.9 meters, Time: 36.6 seconds
Name: Gresham Road, Instruction: Turn right onto Gresham Road, Distance: 205.3 meters, Time: 147.9 seconds
Name: Manor Road East, Instruction: Turn left onto Manor Road East, Distance: 185.5 meters, Time: 133.6 seconds
Name: -, Instruction: Turn right, Distance: 111.2 meters, Time: 80.1 seconds
Name: -, Instruction: Keep right, Distance: 95.1 meters, Time: 68.5 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
