Name: Am Eschbichl, Instruction: Head southwest on Am Eschbichl, Distance: 45.4 meters, Time: 32.7 seconds
Name: Zahnbrecherweg, Instruction: Turn right onto Zahnbrecherweg, Distance: 101.4 meters, Time: 73.0 seconds
Name: Kardinal-Wendel-Straße, Instruction: Turn left onto Kardinal-Wendel-Straße, Distance: 203.6 meters, Time: 146.6 seconds
Name: -, Instruction: Continue straight, Distance: 149.9 meters, Time: 107.9 seconds
Name: -, Instruction: Turn left, Distance: 350.7 meters, Time: 252.5 seconds
Name: -, Instruction: Turn right, Distance: 333.3 meters, Time: 239.9 seconds
Name: Musenbergstraße, Instruction: Turn left onto Musenbergstraße, Distance: 4.1 meters, Time: 3.0 seconds
Name: Stegmühlstraße, Instruction: Turn right onto Stegmühlstraße, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Turn left, Distance: 30.5 meters, Time: 22.0 seconds
Name: -, Instruction: Turn left, Distance: 46.9 meters, Time: 33.7 seconds
Name: Karl-Erb-Weg, Instruction: Turn right onto Karl-Erb-Weg, Distance: 9.6 meters, Time: 6.9 seconds
Name: Karl-Erb-Weg, Instruction: Turn right onto Karl-Erb-Weg, Distance: 80.9 meters, Time: 58.2 seconds
Name: Freischützstraße, Instruction: Turn left onto Freischützstraße, Distance: 645.5 meters, Time: 464.7 seconds
Name: -, Instruction: Turn slight right, Distance: 34.3 meters, Time: 24.7 seconds
Name: Englschalkinger Straße, Instruction: Turn slight right onto Englschalkinger Straße, Distance: 6.8 meters, Time: 4.9 seconds
Name: Ostpreußenstraße, Instruction: Keep left onto Ostpreußenstraße, Distance: 69.2 meters, Time: 49.8 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: Ostpreußenstraße, Instruction: Turn right onto Ostpreußenstraße, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: Ostpreußenstraße, Instruction: Turn left onto Ostpreußenstraße, Distance: 100.5 meters, Time: 72.4 seconds
Name: Dorpater Straße, Instruction: Turn right onto Dorpater Straße, Distance: 71.6 meters, Time: 51.5 seconds
Name: -, Instruction: Arrive at Dorpater Straße, on the right, Distance: 0.0 meters, Time: 0.0 seconds
