Name: Central Avenue, Instruction: Head east on Central Avenue, Distance: 337.4 meters, Time: 242.9 seconds
Name: Belgravia Road, Instruction: Turn right onto Belgravia Road, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 88.9 meters, Time: 64.0 seconds
Name: Arlington Road, Instruction: Turn right onto Arlington Road, Distance: 14.8 meters, Time: 10.7 seconds
Name: Quartz Street, Instruction: Turn left onto Quartz Street, Distance: 259.6 meters, Time: 186.9 seconds
Name: Calcite Road, Instruction: Turn left onto Calcite Road, Distance: 37.9 meters, Time: 27.3 seconds
Name: Arlington Road, Instruction: Turn slight right onto Arlington Road, Distance: 58.2 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 94.8 meters, Time: 68.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 144.4 meters, Time: 104.0 seconds
Name: -, Instruction: Turn left, Distance: 41.9 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 29.5 meters, Time: 21.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
