Name: Grange Road, Instruction: Head west on Grange Road, Distance: 30.1 meters, Time: 21.6 seconds
Name: Ashton Road, Instruction: Turn right onto Ashton Road, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 285.0 meters, Time: 205.2 seconds
Name: -, Instruction: Turn right, Distance: 49.0 meters, Time: 35.3 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: Valley Road, Instruction: Turn right onto Valley Road, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.0 meters, Time: 6.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 198.4 meters, Time: 142.9 seconds
Name: -, Instruction: Turn slight left, Distance: 324.3 meters, Time: 233.5 seconds
Name: -, Instruction: Turn slight right, Distance: 232.6 meters, Time: 167.5 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: Mount Eden Road, Instruction: Turn left onto Mount Eden Road, Distance: 169.1 meters, Time: 121.8 seconds
Name: -, Instruction: Turn right, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Turn left, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Turn slight right, Distance: 154.1 meters, Time: 111.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn left, Distance: 453.1 meters, Time: 326.2 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
