Name: Whimbrel Lane, Instruction: Head northwest on Whimbrel Lane, Distance: 33.7 meters, Time: 24.3 seconds
Name: Tern Street, Instruction: Turn left onto Tern Street, Distance: 126.6 meters, Time: 91.2 seconds
Name: Sandpiper Crescent, Instruction: Turn right onto Sandpiper Crescent, Distance: 332.3 meters, Time: 239.3 seconds
Name: Sandpiper Crescent, Instruction: Turn right onto Sandpiper Crescent, Distance: 1012.3 meters, Time: 728.9 seconds
Name: -, Instruction: Turn left, Distance: 676.2 meters, Time: 486.8 seconds
Name: -, Instruction: Turn right, Distance: 50.9 meters, Time: 36.6 seconds
Name: Raats Drive, Instruction: Turn right onto Raats Drive, Distance: 88.1 meters, Time: 63.5 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 174.7 meters, Time: 125.8 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn slight left, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
