Name: Lordsmead Road, Instruction: Head south on Lordsmead Road, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 159.3 meters, Time: 114.7 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Turn left, Distance: 20.6 meters, Time: 14.8 seconds
Name: Bennington Road, Instruction: Turn right onto Bennington Road, Distance: 177.0 meters, Time: 127.4 seconds
Name: -, Instruction: Turn left, Distance: 191.8 meters, Time: 138.1 seconds
Name: -, Instruction: Turn right, Distance: 122.8 meters, Time: 88.4 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: The Roundway, A10, Instruction: Turn left onto The Roundway, A10, Distance: 129.4 meters, Time: 93.2 seconds
Name: Fryatt Road, Instruction: Turn right onto Fryatt Road, Distance: 105.6 meters, Time: 76.0 seconds
Name: Fryatt Road, Instruction: Turn right onto Fryatt Road, Distance: 218.5 meters, Time: 157.3 seconds
Name: White Hart Lane, Instruction: Turn right onto White Hart Lane, Distance: 14.4 meters, Time: 10.4 seconds
Name: Devonshire Hill Lane, Instruction: Turn left onto Devonshire Hill Lane, Distance: 306.0 meters, Time: 220.3 seconds
Name: Devonshire Hill Lane, Instruction: Keep right onto Devonshire Hill Lane, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Continue straight, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Continue straight, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 939.9 meters, Time: 676.8 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Keep left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
