Name: Fritz-Erler-Straße, Instruction: Head south on Fritz-Erler-Straße, Distance: 55.2 meters, Time: 39.7 seconds
Name: Hanns-Seidel-Platz, Instruction: Turn right onto Hanns-Seidel-Platz, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 159.7 meters, Time: 115.0 seconds
Name: -, Instruction: Keep right, Distance: 70.9 meters, Time: 51.1 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Turn left, Distance: 241.2 meters, Time: 173.6 seconds
Name: -, Instruction: Keep right, Distance: 719.8 meters, Time: 518.2 seconds
Name: -, Instruction: Keep left, Distance: 155.6 meters, Time: 112.0 seconds
Name: -, Instruction: Keep right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Keep right, Distance: 241.7 meters, Time: 174.0 seconds
Name: -, Instruction: Keep left, Distance: 16.4 meters, Time: 11.8 seconds
Name: Therese-Giehse-Allee, Instruction: Turn right onto Therese-Giehse-Allee, Distance: 109.6 meters, Time: 78.9 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
