Name: Rue Ségoffin, Instruction: Head southwest on Rue Ségoffin, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: Square Henri Regnault, Instruction: Turn right onto Square Henri Regnault, Distance: 106.3 meters, Time: 76.5 seconds
Name: -, Instruction: Turn right, Distance: 79.2 meters, Time: 57.0 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 201.6 meters, Time: 145.2 seconds
Name: -, Instruction: Turn right, Distance: 44.0 meters, Time: 31.7 seconds
Name: -, Instruction: Turn left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn right, Distance: 52.0 meters, Time: 37.4 seconds
Name: -, Instruction: Turn left, Distance: 117.3 meters, Time: 84.4 seconds
Name: Axe de La Défense, Instruction: Turn left onto Axe de La Défense, Distance: 52.6 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Turn right, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 44.7 meters, Time: 32.2 seconds
Name: -, Instruction: Keep left, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Turn right, Distance: 123.7 meters, Time: 89.1 seconds
Name: Place du Sud, Instruction: Turn right onto Place du Sud, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight left, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Turn right, Distance: 116.8 meters, Time: 84.1 seconds
Name: -, Instruction: Turn left, Distance: 56.7 meters, Time: 40.8 seconds
Name: Cours du Maréchal Leclerc, Instruction: Turn slight left onto Cours du Maréchal Leclerc, Distance: 7.8 meters, Time: 5.6 seconds
Name: Cours du Maréchal Leclerc, Instruction: Continue straight onto Cours du Maréchal Leclerc, Distance: 2.4 meters, Time: 1.7 seconds
Name: Rue Édouard Vaillant, Instruction: Turn slight right onto Rue Édouard Vaillant, Distance: 99.6 meters, Time: 71.7 seconds
Name: Rue de la République, D 4, Instruction: Turn right onto Rue de la République, D 4, Distance: 25.4 meters, Time: 18.3 seconds
Name: Rue Rousselle, Instruction: Turn left onto Rue Rousselle, Distance: 108.9 meters, Time: 78.4 seconds
Name: Rue Marius Jacotot, Instruction: Keep right onto Rue Marius Jacotot, Distance: 297.3 meters, Time: 214.0 seconds
Name: Place Antoine et Simone Veil, D 9, Instruction: Turn left onto Place Antoine et Simone Veil, D 9, Distance: 49.2 meters, Time: 35.4 seconds
Name: Rue Jean Jaurès, Instruction: Turn right onto Rue Jean Jaurès, Distance: 251.5 meters, Time: 181.1 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 156.1 meters, Time: 112.4 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 207.0 meters, Time: 149.0 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
