Name: 若木通り, Instruction: Head south on 若木通り, Distance: 78.4 meters, Time: 56.5 seconds
Name: -, Instruction: Turn right, Distance: 277.2 meters, Time: 199.6 seconds
Name: -, Instruction: Turn left, Distance: 44.8 meters, Time: 32.2 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Keep right, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Turn slight right, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Keep right, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 570.8 meters, Time: 411.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 108.5 meters, Time: 78.1 seconds
Name: -, Instruction: Turn left, Distance: 104.0 meters, Time: 74.9 seconds
Name: -, Instruction: Turn right, Distance: 116.8 meters, Time: 84.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
