Name: Rua João Lira, Instruction: Head north on Rua João Lira, Distance: 335.9 meters, Time: 241.8 seconds
Name: Rua Conde de Bernadote, Instruction: Turn right onto Rua Conde de Bernadote, Distance: 121.0 meters, Time: 87.1 seconds
Name: Rua Adalberto Ferreira, Instruction: Turn left onto Rua Adalberto Ferreira, Distance: 192.2 meters, Time: 138.3 seconds
Name: Rua Doutor Marques Canário, Instruction: Keep right onto Rua Doutor Marques Canário, Distance: 114.6 meters, Time: 82.5 seconds
Name: Rubro-Negra, Instruction: Turn right onto Rubro-Negra, Distance: 166.3 meters, Time: 119.7 seconds
Name: -, Instruction: Turn left, Distance: 33.7 meters, Time: 24.3 seconds
Name: Rua Mário Ribeiro, Instruction: Turn left onto Rua Mário Ribeiro, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 130.0 meters, Time: 93.6 seconds
Name: -, Instruction: Keep left, Distance: 30.9 meters, Time: 22.2 seconds
Name: -, Instruction: Keep left, Distance: 498.7 meters, Time: 359.1 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 548.7 meters, Time: 395.0 seconds
Name: Avenida Borges de Medeiros, Instruction: Turn left onto Avenida Borges de Medeiros, Distance: 79.8 meters, Time: 57.4 seconds
Name: -, Instruction: Arrive at Avenida Borges de Medeiros, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
