Name: Parvis Claire Heyman et Maria Errazuriz, Instruction: Head south on Parvis Claire Heyman et Maria Errazuriz, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Continue straight, Distance: 1.3 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 221.8 meters, Time: 159.7 seconds
Name: -, Instruction: Turn slight left, Distance: 193.7 meters, Time: 139.5 seconds
Name: -, Instruction: Turn right, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn right, Distance: 254.7 meters, Time: 183.4 seconds
Name: -, Instruction: Turn right, Distance: 39.4 meters, Time: 28.3 seconds
Name: -, Instruction: Keep left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Keep left, Distance: 121.1 meters, Time: 87.2 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
