Name: Rue du Docteur Blanche, Instruction: Head southwest on Rue du Docteur Blanche, Distance: 153.8 meters, Time: 110.7 seconds
Name: Square du Docteur Blanche, Instruction: Turn left onto Square du Docteur Blanche, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 148.6 meters, Time: 107.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.5 meters, Time: 4.0 seconds
Name: Rue Raffet, Instruction: Turn left onto Rue Raffet, Distance: 293.7 meters, Time: 211.5 seconds
Name: -, Instruction: Turn right, Distance: 42.3 meters, Time: 30.4 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 43.3 meters, Time: 31.1 seconds
Name: -, Instruction: Turn right, Distance: 38.5 meters, Time: 27.7 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 23.9 meters, Time: 17.2 seconds
Name: Rue Michel-Ange, Instruction: Keep left onto Rue Michel-Ange, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight left, Distance: 331.2 meters, Time: 238.4 seconds
Name: -, Instruction: Keep right, Distance: 84.6 meters, Time: 60.9 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
