Name: Philipp-Loewenfeld-Straße, Instruction: Head south on Philipp-Loewenfeld-Straße, Distance: 72.2 meters, Time: 52.0 seconds
Name: Landsberger Straße, Instruction: Turn right onto Landsberger Straße, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 199.9 meters, Time: 143.9 seconds
Name: Westendstraße, Instruction: Turn right onto Westendstraße, Distance: 212.6 meters, Time: 153.1 seconds
Name: -, Instruction: Turn left, Distance: 172.8 meters, Time: 124.4 seconds
Name: Gollierplatz, Instruction: Turn right onto Gollierplatz, Distance: 12.5 meters, Time: 9.0 seconds
Name: Trappentreustraße, Instruction: Turn left onto Trappentreustraße, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 143.7 meters, Time: 103.5 seconds
Name: Kazmairstraße, Instruction: Turn right onto Kazmairstraße, Distance: 48.4 meters, Time: 34.8 seconds
Name: -, Instruction: Turn left, Distance: 47.5 meters, Time: 34.2 seconds
Name: Gießerweg, Instruction: Turn left onto Gießerweg, Distance: 81.5 meters, Time: 58.7 seconds
Name: Ridlerstraße, Instruction: Turn left onto Ridlerstraße, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Keep right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 64.4 meters, Time: 46.4 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Turn slight right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 57.5 meters, Time: 41.4 seconds
Name: -, Instruction: Keep left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
