Name: Manor Lane, Instruction: Head south on Manor Lane, Distance: 933.3 meters, Time: 672.0 seconds
Name: -, Instruction: Turn right, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn left, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn left, Distance: 12.7 meters, Time: 9.2 seconds
Name: -, Instruction: Turn slight right, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Keep right, Distance: 5.5 meters, Time: 3.9 seconds
Name: St. Mildred's Road, Instruction: Continue straight onto St. Mildred's Road, Distance: 30.5 meters, Time: 21.9 seconds
Name: -, Instruction: Continue straight, Distance: 113.6 meters, Time: 81.8 seconds
Name: -, Instruction: Turn right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 15.5 meters, Time: 11.2 seconds
Name: Helder Grove, Instruction: Turn right onto Helder Grove, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Turn right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
