Name: Elliot Street, Instruction: Head east on Elliot Street, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn right, Distance: 254.9 meters, Time: 183.5 seconds
Name: Cathcart Street, Instruction: Turn left onto Cathcart Street, Distance: 12.3 meters, Time: 8.8 seconds
Name: Jan van Riebeeck Avenue, Instruction: Turn right onto Jan van Riebeeck Avenue, Distance: 21.4 meters, Time: 15.4 seconds
Name: Jan van Riebeeck Avenue, Instruction: Keep left onto Jan van Riebeeck Avenue, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 426.9 meters, Time: 307.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 43.3 meters, Time: 31.2 seconds
Name: Bofors Circle, Instruction: Turn left onto Bofors Circle, Distance: 14.7 meters, Time: 10.6 seconds
Name: Fitzmaurice Avenue, Instruction: Turn right onto Fitzmaurice Avenue, Distance: 451.1 meters, Time: 324.8 seconds
Name: -, Instruction: Turn left, Distance: 58.4 meters, Time: 42.1 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
