Name: Safferlingstraße, Instruction: Head north on Safferlingstraße, Distance: 119.5 meters, Time: 86.0 seconds
Name: -, Instruction: Turn left, Distance: 1057.0 meters, Time: 761.0 seconds
Name: Arnulfstraße, Instruction: Turn right onto Arnulfstraße, Distance: 29.3 meters, Time: 21.1 seconds
Name: Arnulfstraße, Instruction: Turn right onto Arnulfstraße, Distance: 8.6 meters, Time: 6.2 seconds
Name: Arnulfstraße, Instruction: Turn left onto Arnulfstraße, Distance: 62.1 meters, Time: 44.7 seconds
Name: Königbauerstraße, Instruction: Keep left onto Königbauerstraße, Distance: 660.8 meters, Time: 475.7 seconds
Name: -, Instruction: Turn slight right, Distance: 116.4 meters, Time: 83.8 seconds
Name: De-la-Paz-Straße, Instruction: Turn left onto De-la-Paz-Straße, Distance: 32.0 meters, Time: 23.0 seconds
Name: Siegrunestraße, Instruction: Turn right onto Siegrunestraße, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Continue straight, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn left, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Turn slight left, Distance: 24.4 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 70.9 meters, Time: 51.0 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
