Name: Patricia Street, Instruction: Head north on Patricia Street, Distance: 52.4 meters, Time: 37.8 seconds
Name: Dorothy Street, Instruction: Turn right onto Dorothy Street, Distance: 314.3 meters, Time: 226.3 seconds
Name: Primrose Avenue, Instruction: Turn right onto Primrose Avenue, Distance: 76.6 meters, Time: 55.2 seconds
Name: -, Instruction: Turn left, Distance: 143.2 meters, Time: 103.1 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn left, Distance: 341.7 meters, Time: 246.0 seconds
Name: -, Instruction: Turn left, Distance: 7.3 meters, Time: 5.3 seconds
Name: Silverse Street, Instruction: Turn left onto Silverse Street, Distance: 12.2 meters, Time: 8.8 seconds
Name: River Road, Instruction: Turn right onto River Road, Distance: 40.8 meters, Time: 29.4 seconds
Name: -, Instruction: Turn left, Distance: 79.9 meters, Time: 57.6 seconds
Name: Haleyam Street, Instruction: Turn slight right onto Haleyam Street, Distance: 15.0 meters, Time: 10.8 seconds
Name: Haleyam Street, Instruction: Turn right onto Haleyam Street, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 337.9 meters, Time: 243.3 seconds
Name: Marlean Lane, Instruction: Turn right onto Marlean Lane, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn left, Distance: 35.9 meters, Time: 25.8 seconds
Name: Allura Crescent, Instruction: Turn right onto Allura Crescent, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Arrive at Allura Crescent, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
