Name: Rosmead Avenue, M28, Instruction: Head north on Rosmead Avenue, M28, Distance: 92.7 meters, Time: 66.7 seconds
Name: Ross Road, Instruction: Turn left onto Ross Road, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn left, Distance: 298.0 meters, Time: 214.6 seconds
Name: -, Instruction: Turn right, Distance: 289.9 meters, Time: 208.7 seconds
Name: Kent Road, Instruction: Turn left onto Kent Road, Distance: 280.6 meters, Time: 202.0 seconds
Name: Tiverton Road, Instruction: Turn right onto Tiverton Road, Distance: 752.0 meters, Time: 541.4 seconds
Name: -, Instruction: Turn slight left, Distance: 69.1 meters, Time: 49.7 seconds
Name: Exeter Road, Instruction: Turn left onto Exeter Road, Distance: 271.9 meters, Time: 195.8 seconds
Name: -, Instruction: Turn right, Distance: 93.3 meters, Time: 67.2 seconds
Name: Culm Road, Instruction: Turn left onto Culm Road, Distance: 16.7 meters, Time: 12.0 seconds
Name: Southfield Road, Instruction: Turn right onto Southfield Road, Distance: 129.0 meters, Time: 92.9 seconds
Name: -, Instruction: Turn left, Distance: 78.1 meters, Time: 56.2 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
