Name: Merchants Way, Instruction: Head northwest on Merchants Way, Distance: 159.2 meters, Time: 114.6 seconds
Name: Ace Way, Instruction: Turn left onto Ace Way, Distance: 6.8 meters, Time: 4.9 seconds
Name: Ponton Road, Instruction: Turn right onto Ponton Road, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 101.3 meters, Time: 72.9 seconds
Name: -, Instruction: Turn left, Distance: 69.1 meters, Time: 49.7 seconds
Name: New Union Square, Instruction: Turn right onto New Union Square, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Turn left, Distance: 70.8 meters, Time: 51.0 seconds
Name: New Mill Road, Instruction: Turn right onto New Mill Road, Distance: 57.8 meters, Time: 41.6 seconds
Name: -, Instruction: Turn left, Distance: 163.3 meters, Time: 117.5 seconds
Name: Moat Street, Instruction: Turn right onto Moat Street, Distance: 21.2 meters, Time: 15.2 seconds
Name: -, Instruction: Turn left, Distance: 132.8 meters, Time: 95.6 seconds
Name: -, Instruction: Turn slight right, Distance: 8.2 meters, Time: 5.9 seconds
Name: Pump House Lane, Instruction: Turn right onto Pump House Lane, Distance: 274.2 meters, Time: 197.4 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: Circus Road East, Instruction: Turn right onto Circus Road East, Distance: 125.2 meters, Time: 90.2 seconds
Name: -, Instruction: Turn left, Distance: 101.4 meters, Time: 73.0 seconds
Name: -, Instruction: Keep right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Continue straight, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Keep left, Distance: 31.5 meters, Time: 22.7 seconds
Name: -, Instruction: Keep left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 119.0 meters, Time: 85.7 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 110.9 meters, Time: 79.9 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 265.4 meters, Time: 191.1 seconds
Name: -, Instruction: Turn left, Distance: 31.9 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn slight right, Distance: 47.3 meters, Time: 34.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
