Name: Constellation Avenue, Instruction: Head southwest on Constellation Avenue, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn left, Distance: 73.9 meters, Time: 53.2 seconds
Name: -, Instruction: Turn slight right, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Keep right, Distance: 211.3 meters, Time: 152.2 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.3 seconds
Name: Beachlands Road, Instruction: Turn right onto Beachlands Road, Distance: 347.8 meters, Time: 250.4 seconds
Name: Beachlands Road, Instruction: Keep left onto Beachlands Road, Distance: 20.1 meters, Time: 14.4 seconds
Name: Shelly Bay Road, Instruction: Enter the roundabout and take the 1st exit onto Shelly Bay Road, Distance: 228.3 meters, Time: 164.3 seconds
Name: Seventh View Avenue, Instruction: Turn right onto Seventh View Avenue, Distance: 320.8 meters, Time: 231.0 seconds
Name: -, Instruction: Arrive at Seventh View Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
