Name: Nicholson Street, Instruction: Head west on Nicholson Street, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 189.0 meters, Time: 136.1 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.6 seconds
Name: -, Instruction: Turn right, Distance: 506.2 meters, Time: 364.5 seconds
Name: Victoria Embankment, Instruction: Turn left onto Victoria Embankment, Distance: 97.1 meters, Time: 69.9 seconds
Name: John Carpenter Street, Instruction: Continue straight onto John Carpenter Street, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Continue straight, Distance: 120.5 meters, Time: 86.8 seconds
Name: Victoria Embankment, Instruction: Turn right onto Victoria Embankment, Distance: 264.7 meters, Time: 190.6 seconds
Name: Temple Place, Instruction: Keep right onto Temple Place, Distance: 42.8 meters, Time: 30.8 seconds
Name: Milford Lane, Instruction: Keep right onto Milford Lane, Distance: 35.2 meters, Time: 25.4 seconds
Name: Milford Lane, Instruction: Turn left onto Milford Lane, Distance: 80.3 meters, Time: 57.8 seconds
Name: Tweezers Alley, Instruction: Turn left onto Tweezers Alley, Distance: 52.3 meters, Time: 37.7 seconds
Name: -, Instruction: Arrive at Tweezers Alley, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
