Name: Trenchold Street, Instruction: Head south on Trenchold Street, Distance: 18.6 meters, Time: 13.4 seconds
Name: Wyvil Road, Instruction: Turn right onto Wyvil Road, Distance: 53.8 meters, Time: 38.8 seconds
Name: Luscombe Way, Instruction: Turn left onto Luscombe Way, Distance: 58.9 meters, Time: 42.4 seconds
Name: Luscombe Way, Instruction: Turn left onto Luscombe Way, Distance: 169.5 meters, Time: 122.0 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.2 seconds
Name: Wilcox Road, Instruction: Turn left onto Wilcox Road, Distance: 50.6 meters, Time: 36.4 seconds
Name: Hartington Road, Instruction: Turn right onto Hartington Road, Distance: 530.9 meters, Time: 382.2 seconds
Name: Lansdowne Way, Instruction: Turn left onto Lansdowne Way, Distance: 5.6 meters, Time: 4.1 seconds
Name: Priory Grove, Instruction: Turn right onto Priory Grove, Distance: 298.6 meters, Time: 215.0 seconds
Name: Priory Grove, Instruction: Keep right onto Priory Grove, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.6 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: Larkhall Lane, Instruction: Turn right onto Larkhall Lane, Distance: 95.1 meters, Time: 68.4 seconds
Name: -, Instruction: Turn right, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 54.9 meters, Time: 39.6 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: Smedley Street, Instruction: Turn right onto Smedley Street, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 26.3 meters, Time: 18.9 seconds
Name: -, Instruction: Turn left, Distance: 48.6 meters, Time: 35.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
