Name: Avenue Émile Zola, Instruction: Head north on Avenue Émile Zola, Distance: 354.9 meters, Time: 255.5 seconds
Name: Place Bir-Hakeim, Instruction: Turn left onto Place Bir-Hakeim, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: Rue du Vieux Pont de Sèvres, Instruction: Turn right onto Rue du Vieux Pont de Sèvres, Distance: 286.7 meters, Time: 206.4 seconds
Name: Rue des Quatre Cheminées, Instruction: Keep left onto Rue des Quatre Cheminées, Distance: 216.5 meters, Time: 155.9 seconds
Name: -, Instruction: Turn right, Distance: 52.7 meters, Time: 38.0 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.4 seconds
Name: -, Instruction: Turn left, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 354.3 meters, Time: 255.1 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 225.5 meters, Time: 162.4 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 218.1 meters, Time: 157.0 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Rue Denfert-Rochereau, Instruction: Turn left onto Rue Denfert-Rochereau, Distance: 249.4 meters, Time: 179.6 seconds
Name: -, Instruction: Turn right, Distance: 40.0 meters, Time: 28.8 seconds
Name: -, Instruction: Turn slight right, Distance: 163.4 meters, Time: 117.6 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Rue Max Blondat, Instruction: Turn right onto Rue Max Blondat, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Arrive at Rue Max Blondat, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
