Name: Luzernenweg, Instruction: Head east on Luzernenweg, Distance: 40.5 meters, Time: 29.1 seconds
Name: Flemischweg, Instruction: Turn left onto Flemischweg, Distance: 71.9 meters, Time: 51.8 seconds
Name: -, Instruction: Turn left, Distance: 186.9 meters, Time: 134.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 121.5 meters, Time: 87.5 seconds
Name: -, Instruction: Turn slight left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn slight right, Distance: 144.0 meters, Time: 103.7 seconds
Name: -, Instruction: Turn left, Distance: 578.5 meters, Time: 416.5 seconds
Name: Schlagweg, Instruction: Turn sharp right onto Schlagweg, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 85.0 meters, Time: 61.2 seconds
Name: -, Instruction: Keep left, Distance: 443.3 meters, Time: 319.2 seconds
Name: -, Instruction: Keep left, Distance: 69.8 meters, Time: 50.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
