Name: شارع جمال عبد الناصر, Instruction: Head southeast on شارع جمال عبد الناصر, Distance: 137.3 meters, Time: 98.8 seconds
Name: -, Instruction: Keep right, Distance: 105.7 meters, Time: 76.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.7 meters, Time: 12.7 seconds
Name: طريق الشباب, Instruction: Turn sharp right onto طريق الشباب, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 132.3 meters, Time: 95.2 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: طريق الشباب, Instruction: Turn right onto طريق الشباب, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 241.6 meters, Time: 174.0 seconds
Name: -, Instruction: Turn right, Distance: 53.4 meters, Time: 38.5 seconds
Name: -, Instruction: Turn left, Distance: 134.7 meters, Time: 97.0 seconds
Name: -, Instruction: Turn right, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 176.1 meters, Time: 126.8 seconds
Name: -, Instruction: Turn left, Distance: 66.3 meters, Time: 47.7 seconds
Name: -, Instruction: Keep left, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Keep right, Distance: 172.8 meters, Time: 124.4 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 339.9 meters, Time: 244.7 seconds
Name: -, Instruction: Keep right, Distance: 344.3 meters, Time: 247.9 seconds
Name: شارع المدرسه, Instruction: Enter the roundabout and take the 1st exit onto شارع المدرسه, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Turn right, Distance: 15.4 meters, Time: 11.1 seconds
Name: شارع المدرسه, Instruction: Turn left onto شارع المدرسه, Distance: 298.2 meters, Time: 214.7 seconds
Name: شارع المدرسه, Instruction: Continue straight onto شارع المدرسه, Distance: 122.3 meters, Time: 88.1 seconds
Name: -, Instruction: Keep right, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
