Name: Promenade Claude Lévi-Strauss, Instruction: Head northwest on Promenade Claude Lévi-Strauss, Distance: 71.4 meters, Time: 51.4 seconds
Name: -, Instruction: Turn right, Distance: 68.4 meters, Time: 49.3 seconds
Name: Avenue de France, Instruction: Turn left onto Avenue de France, Distance: 129.7 meters, Time: 93.4 seconds
Name: Rue Alphonse Boudard, Instruction: Turn right onto Rue Alphonse Boudard, Distance: 9.7 meters, Time: 7.0 seconds
Name: Promenade Jules Isaac, Instruction: Turn left onto Promenade Jules Isaac, Distance: 442.2 meters, Time: 318.4 seconds
Name: -, Instruction: Turn right, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Keep left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 295.5 meters, Time: 212.7 seconds
Name: -, Instruction: Turn left, Distance: 187.6 meters, Time: 135.1 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
